date,campaign,campaign_type,spend,revenue,conversions
2025-03-06,prospecting_us,prospecting,175.95,767.69,15
2025-03-07,prospecting_us,prospecting,199.98,750.31,15
2025-03-08,prospecting_us,prospecting,204.6,882.89,17
2025-03-09,prospecting_us,prospecting,122.73,645.45,12
2025-03-10,prospecting_us,prospecting,91.51,517.88,10
2025-03-11,prospecting_us,prospecting,144.83,490.15,9
2025-03-12,prospecting_us,prospecting,177.1,800.65,16
2025-03-13,prospecting_us,prospecting,229.94,969.63,19
2025-03-14,prospecting_us,prospecting,211.28,738.67,14
2025-03-15,prospecting_us,prospecting,206.44,812.13,16
2025-03-16,prospecting_us,prospecting,145.78,595.39,11
2025-03-17,prospecting_us,prospecting,116.63,454.14,9
2025-03-18,prospecting_us,prospecting,134.42,486.03,9
2025-03-19,prospecting_us,prospecting,174.97,771.73,15
2025-03-20,prospecting_us,prospecting,195.65,808.15,16
2025-03-21,prospecting_us,prospecting,191.55,934.93,18
2025-03-22,prospecting_us,prospecting,197.99,743.7,14
2025-03-23,prospecting_us,prospecting,121.25,521.28,10
2025-03-24,prospecting_us,prospecting,111.74,564.03,11
2025-03-25,prospecting_us,prospecting,134.14,509.04,10
2025-03-26,prospecting_us,prospecting,183.29,684.54,13
2025-03-27,prospecting_us,prospecting,225.66,779.0,15
2025-03-28,prospecting_us,prospecting,216.94,962.08,19
2025-03-29,prospecting_us,prospecting,163.56,767.06,15
2025-03-30,prospecting_us,prospecting,166.55,575.41,11
2025-03-31,prospecting_us,prospecting,94.71,489.97,9
2025-04-01,prospecting_us,prospecting,114.79,455.56,9
2025-04-02,prospecting_us,prospecting,158.66,725.55,14
2025-04-03,prospecting_us,prospecting,180.82,746.35,14
2025-04-04,prospecting_us,prospecting,235.75,881.2,17
2025-04-05,prospecting_us,prospecting,205.93,772.02,15
2025-04-06,prospecting_us,prospecting,164.64,668.87,13
2025-04-07,prospecting_us,prospecting,95.95,522.15,10
2025-04-08,prospecting_us,prospecting,122.13,478.29,9
2025-04-09,prospecting_us,prospecting,137.98,677.27,13
2025-04-10,prospecting_us,prospecting,162.01,709.05,14
2025-04-11,prospecting_us,prospecting,177.27,785.3,15
2025-04-12,prospecting_us,prospecting,174.89,746.75,14
2025-04-13,prospecting_us,prospecting,127.1,498.04,9
2025-04-14,prospecting_us,prospecting,118.56,490.93,9
2025-04-15,prospecting_us,prospecting,130.08,485.16,9
2025-04-16,prospecting_us,prospecting,129.08,578.89,11
2025-04-17,prospecting_us,prospecting,194.39,778.52,15
2025-04-18,prospecting_us,prospecting,232.81,840.45,16
2025-04-19,prospecting_us,prospecting,183.3,775.07,15
2025-04-20,prospecting_us,prospecting,112.72,556.36,11
2025-04-21,prospecting_us,prospecting,106.34,476.39,9
2025-04-22,prospecting_us,prospecting,103.05,543.54,10
2025-04-23,prospecting_us,prospecting,188.6,615.03,12
2025-04-24,prospecting_us,prospecting,205.85,884.2,17
2025-04-25,prospecting_us,prospecting,189.28,886.81,17
2025-04-26,prospecting_us,prospecting,190.69,862.6,17
2025-04-27,prospecting_us,prospecting,166.2,554.08,11
2025-04-28,prospecting_us,prospecting,110.88,503.34,10
2025-04-29,prospecting_us,prospecting,105.32,480.51,9
2025-04-30,prospecting_us,prospecting,191.5,617.15,12
2025-05-01,prospecting_us,prospecting,194.07,886.25,17
2025-05-02,prospecting_us,prospecting,192.52,815.86,16
2025-05-03,prospecting_us,prospecting,215.73,791.25,15
2025-05-04,prospecting_us,prospecting,118.81,488.86,9
2025-05-05,prospecting_us,prospecting,133.57,498.63,9
2025-05-06,prospecting_us,prospecting,122.86,471.22,9
2025-05-07,prospecting_us,prospecting,155.35,755.43,15
2025-05-08,prospecting_us,prospecting,198.02,923.31,18
2025-05-09,prospecting_us,prospecting,187.13,814.51,16
2025-05-10,prospecting_us,prospecting,207.14,774.03,15
2025-05-11,prospecting_us,prospecting,127.09,641.14,12
2025-05-12,prospecting_us,prospecting,108.38,496.26,9
2025-05-13,prospecting_us,prospecting,146.04,521.96,10
2025-05-14,prospecting_us,prospecting,147.51,564.34,11
2025-05-15,prospecting_us,prospecting,189.27,725.36,14
2025-05-16,prospecting_us,prospecting,222.02,777.11,15
2025-05-17,prospecting_us,prospecting,193.76,713.89,14
2025-05-18,prospecting_us,prospecting,131.31,560.0,11
2025-05-19,prospecting_us,prospecting,123.2,513.27,10
2025-05-20,prospecting_us,prospecting,115.85,580.22,11
2025-05-21,prospecting_us,prospecting,164.85,624.95,12
2025-05-22,prospecting_us,prospecting,229.48,809.01,16
2025-05-23,prospecting_us,prospecting,168.92,785.95,15
2025-05-24,prospecting_us,prospecting,153.86,654.45,13
2025-05-25,prospecting_us,prospecting,153.16,553.35,11
2025-05-26,prospecting_us,prospecting,127.29,594.48,11
2025-05-27,prospecting_us,prospecting,127.88,580.38,11
2025-05-28,prospecting_us,prospecting,173.93,800.14,16
2025-05-29,prospecting_us,prospecting,185.29,711.46,14
2025-05-30,prospecting_us,prospecting,208.7,850.77,17
2025-05-31,prospecting_us,prospecting,157.77,740.55,14
2025-06-01,prospecting_us,prospecting,112.29,624.02,12
2025-06-02,prospecting_us,prospecting,102.7,414.6,8
2025-06-03,prospecting_us,prospecting,103.44,462.67,9
2025-06-04,prospecting_us,prospecting,145.75,562.25,11
2025-06-05,prospecting_us,prospecting,180.37,712.29,14
2025-06-06,prospecting_us,prospecting,197.05,798.5,15
2025-06-07,prospecting_us,prospecting,169.44,696.0,13
2025-06-08,prospecting_us,prospecting,116.51,480.84,9
2025-06-09,prospecting_us,prospecting,99.86,512.26,10
2025-06-10,prospecting_us,prospecting,146.74,651.49,13
2025-06-11,prospecting_us,prospecting,160.51,683.52,13
2025-06-12,prospecting_us,prospecting,183.15,853.31,17
2025-06-13,prospecting_us,prospecting,229.04,957.51,19
2025-06-14,prospecting_us,prospecting,209.75,774.06,15
2025-06-15,prospecting_us,prospecting,154.26,681.36,13
2025-06-16,prospecting_us,prospecting,104.69,547.25,10
2025-06-17,prospecting_us,prospecting,102.75,574.69,11
2025-06-18,prospecting_us,prospecting,177.55,616.63,12
2025-06-19,prospecting_us,prospecting,210.19,709.69,14
2025-06-20,prospecting_us,prospecting,229.49,946.37,18
2025-06-21,prospecting_us,prospecting,188.52,842.7,16
2025-06-22,prospecting_us,prospecting,116.96,523.78,10
2025-06-23,prospecting_us,prospecting,109.48,425.99,8
2025-06-24,prospecting_us,prospecting,120.12,494.85,9
2025-06-25,prospecting_us,prospecting,153.37,651.04,13
2025-06-26,prospecting_us,prospecting,227.85,788.74,15
2025-06-27,prospecting_us,prospecting,239.73,861.06,17
2025-06-28,prospecting_us,prospecting,168.62,733.23,14
2025-06-29,prospecting_us,prospecting,134.8,549.36,10
2025-01-01,retargeting_us,retargeting,82.74,721.25,14
2025-01-02,retargeting_us,retargeting,104.82,952.81,19
2025-01-03,retargeting_us,retargeting,102.61,1019.2,20
2025-01-04,retargeting_us,retargeting,110.72,943.06,18
2025-01-05,retargeting_us,retargeting,86.85,580.55,11
2025-01-06,retargeting_us,retargeting,62.89,466.65,9
2025-01-07,retargeting_us,retargeting,75.89,589.85,11
2025-01-08,retargeting_us,retargeting,79.63,791.16,15
2025-01-09,retargeting_us,retargeting,91.87,859.54,17
2025-01-10,retargeting_us,retargeting,123.72,808.48,16
2025-01-11,retargeting_us,retargeting,103.29,890.24,17
2025-01-12,retargeting_us,retargeting,63.27,602.4,12
2025-01-13,retargeting_us,retargeting,56.22,527.34,10
2025-01-14,retargeting_us,retargeting,57.05,603.73,12
2025-01-15,retargeting_us,retargeting,101.84,674.93,13
2025-01-16,retargeting_us,retargeting,100.9,883.63,17
2025-01-17,retargeting_us,retargeting,123.59,915.54,18
2025-01-18,retargeting_us,retargeting,85.73,686.23,13
2025-01-19,retargeting_us,retargeting,91.8,651.46,13
2025-01-20,retargeting_us,retargeting,71.5,534.03,10
2025-01-21,retargeting_us,retargeting,78.7,509.35,10
2025-01-22,retargeting_us,retargeting,74.37,778.64,15
2025-01-23,retargeting_us,retargeting,128.01,859.6,17
2025-01-24,retargeting_us,retargeting,107.09,888.87,17
2025-01-25,retargeting_us,retargeting,96.07,724.96,14
2025-01-26,retargeting_us,retargeting,88.69,605.7,12
2025-01-27,retargeting_us,retargeting,67.34,459.26,9
2025-01-28,retargeting_us,retargeting,54.9,553.17,11
2025-01-29,retargeting_us,retargeting,82.29,739.29,14
2025-01-30,retargeting_us,retargeting,90.95,955.13,19
2025-01-31,retargeting_us,retargeting,124.97,1039.41,20
2025-02-01,retargeting_us,retargeting,84.94,735.17,14
2025-02-02,retargeting_us,retargeting,72.47,627.3,12
2025-02-03,retargeting_us,retargeting,57.17,438.4,8
2025-02-04,retargeting_us,retargeting,63.79,508.58,10
2025-02-05,retargeting_us,retargeting,83.94,645.22,12
2025-02-06,retargeting_us,retargeting,98.24,888.46,17
2025-02-07,retargeting_us,retargeting,108.59,862.57,17
2025-02-08,retargeting_us,retargeting,100.75,874.26,17
2025-02-09,retargeting_us,retargeting,72.8,637.38,12
2025-02-10,retargeting_us,retargeting,73.83,545.45,10
2025-02-11,retargeting_us,retargeting,78.36,631.67,12
2025-02-12,retargeting_us,retargeting,72.43,670.99,13
2025-02-13,retargeting_us,retargeting,117.19,1021.29,20
2025-02-14,retargeting_us,retargeting,111.78,799.2,15
2025-02-15,retargeting_us,retargeting,101.86,719.67,14
2025-02-16,retargeting_us,retargeting,84.2,646.47,12
2025-02-17,retargeting_us,retargeting,67.79,587.39,11
2025-02-18,retargeting_us,retargeting,70.79,583.44,11
2025-02-19,retargeting_us,retargeting,96.91,811.21,16
2025-02-20,retargeting_us,retargeting,124.61,778.53,15
2025-02-21,retargeting_us,retargeting,116.23,840.32,16
2025-02-22,retargeting_us,retargeting,113.73,869.61,17
2025-02-23,retargeting_us,retargeting,74.06,565.42,11
2025-02-24,retargeting_us,retargeting,58.22,538.38,10
2025-02-25,retargeting_us,retargeting,59.36,473.3,9
2025-02-26,retargeting_us,retargeting,101.6,803.7,16
2025-02-27,retargeting_us,retargeting,95.54,797.62,15
2025-02-28,retargeting_us,retargeting,135.14,1010.77,20
2025-03-01,retargeting_us,retargeting,103.79,767.14,15
2025-03-02,retargeting_us,retargeting,70.36,530.74,10
2025-03-03,retargeting_us,retargeting,67.91,456.56,9
2025-03-04,retargeting_us,retargeting,53.99,562.92,11
2025-03-05,retargeting_us,retargeting,103.74,806.35,16
2025-03-06,retargeting_us,retargeting,107.35,869.51,17
2025-03-07,retargeting_us,retargeting,110.77,860.76,17
2025-03-08,retargeting_us,retargeting,100.26,790.73,15
2025-03-09,retargeting_us,retargeting,79.51,711.16,14
2025-03-10,retargeting_us,retargeting,74.55,474.73,9
2025-03-11,retargeting_us,retargeting,64.22,497.28,9
2025-03-12,retargeting_us,retargeting,82.75,662.2,13
2025-03-13,retargeting_us,retargeting,94.44,915.69,18
2025-03-14,retargeting_us,retargeting,113.51,1028.47,20
2025-03-15,retargeting_us,retargeting,80.81,668.75,13
2025-03-16,retargeting_us,retargeting,73.54,544.27,10
2025-03-17,retargeting_us,retargeting,56.32,576.35,11
2025-03-18,retargeting_us,retargeting,59.48,490.46,9
2025-03-19,retargeting_us,retargeting,90.54,722.66,14
2025-03-20,retargeting_us,retargeting,112.07,849.28,16
2025-03-21,retargeting_us,retargeting,128.53,838.21,16
2025-03-22,retargeting_us,retargeting,96.55,845.79,16
2025-03-23,retargeting_us,retargeting,87.77,626.73,12
2025-03-24,retargeting_us,retargeting,63.91,452.98,9
2025-03-25,retargeting_us,retargeting,58.44,467.53,9
2025-03-26,retargeting_us,retargeting,95.97,687.15,13
2025-03-27,retargeting_us,retargeting,118.3,776.97,15
2025-03-28,retargeting_us,retargeting,130.16,1037.84,20
2025-03-29,retargeting_us,retargeting,83.05,662.75,13
2025-03-30,retargeting_us,retargeting,62.92,663.02,13
2025-03-31,retargeting_us,retargeting,55.62,508.66,10
2025-04-01,retargeting_us,retargeting,65.34,601.42,12
2025-04-02,retargeting_us,retargeting,87.56,717.26,14
2025-04-03,retargeting_us,retargeting,129.82,817.43,16
2025-04-04,retargeting_us,retargeting,128.71,813.98,16
2025-04-05,retargeting_us,retargeting,98.51,897.22,17
2025-04-06,retargeting_us,retargeting,81.56,675.09,13
2025-04-07,retargeting_us,retargeting,56.34,490.75,9
2025-04-08,retargeting_us,retargeting,63.73,552.4,11
2025-04-09,retargeting_us,retargeting,86.62,678.07,13
2025-04-10,retargeting_us,retargeting,100.13,795.27,15
2025-04-11,retargeting_us,retargeting,107.54,807.79,16
2025-04-12,retargeting_us,retargeting,114.19,858.93,17
2025-04-13,retargeting_us,retargeting,65.3,639.88,12
2025-04-14,retargeting_us,retargeting,70.88,493.36,9
2025-04-15,retargeting_us,retargeting,57.91,456.75,9
2025-04-16,retargeting_us,retargeting,72.02,738.58,14
2025-04-17,retargeting_us,retargeting,129.74,788.47,15
2025-04-18,retargeting_us,retargeting,124.95,813.99,16
2025-04-19,retargeting_us,retargeting,103.06,875.18,17
2025-04-20,retargeting_us,retargeting,72.19,528.85,10
2025-04-21,retargeting_us,retargeting,64.6,598.63,11
2025-04-22,retargeting_us,retargeting,60.79,491.76,9
2025-04-23,retargeting_us,retargeting,74.72,701.93,14
2025-04-24,retargeting_us,retargeting,112.77,960.6,19
2025-04-25,retargeting_us,retargeting,125.18,1044.38,20
2025-04-26,retargeting_us,retargeting,111.56,765.76,15
2025-04-27,retargeting_us,retargeting,78.21,594.13,11
2025-04-28,retargeting_us,retargeting,57.99,572.52,11
2025-04-29,retargeting_us,retargeting,72.22,648.28,12
2025-04-30,retargeting_us,retargeting,85.03,719.97,14
2025-05-01,retargeting_us,retargeting,108.02,771.4,15
2025-05-02,retargeting_us,retargeting,101.7,898.97,17
2025-05-03,retargeting_us,retargeting,82.2,871.31,17
2025-05-04,retargeting_us,retargeting,64.99,549.31,10
2025-05-05,retargeting_us,retargeting,68.83,466.86,9
2025-05-06,retargeting_us,retargeting,78.1,619.25,12
2025-05-07,retargeting_us,retargeting,72.77,725.83,14
2025-05-08,retargeting_us,retargeting,114.3,954.34,19
2025-05-09,retargeting_us,retargeting,128.6,1001.84,20
2025-05-10,retargeting_us,retargeting,102.82,769.03,15
2025-05-11,retargeting_us,retargeting,82.54,729.53,14
2025-05-12,retargeting_us,retargeting,64.41,547.02,10
2025-05-13,retargeting_us,retargeting,65.63,595.59,11
2025-05-14,retargeting_us,retargeting,105.46,675.36,13
2025-05-15,retargeting_us,retargeting,95.65,860.91,17
2025-05-16,retargeting_us,retargeting,112.83,931.92,18
2025-05-17,retargeting_us,retargeting,81.47,747.84,14
2025-05-18,retargeting_us,retargeting,79.04,650.53,13
2025-05-19,retargeting_us,retargeting,66.14,559.87,11
2025-05-20,retargeting_us,retargeting,71.13,614.34,12
2025-05-21,retargeting_us,retargeting,92.34,734.85,14
2025-05-22,retargeting_us,retargeting,113.19,778.18,15
2025-05-23,retargeting_us,retargeting,103.36,902.08,18
2025-05-24,retargeting_us,retargeting,114.23,878.23,17
2025-05-25,retargeting_us,retargeting,63.97,618.42,12
2025-05-26,retargeting_us,retargeting,55.3,535.8,10
2025-05-27,retargeting_us,retargeting,76.14,591.99,11
2025-05-28,retargeting_us,retargeting,91.16,689.26,13
2025-05-29,retargeting_us,retargeting,106.24,966.25,19
2025-05-30,retargeting_us,retargeting,123.83,937.51,18
2025-05-31,retargeting_us,retargeting,94.16,688.24,13
2025-06-01,retargeting_us,retargeting,65.58,549.59,10
2025-06-02,retargeting_us,retargeting,59.08,577.18,11
2025-06-03,retargeting_us,retargeting,67.46,512.81,10
2025-06-04,retargeting_us,retargeting,74.08,655.69,13
2025-06-05,retargeting_us,retargeting,122.29,868.73,17
2025-06-06,retargeting_us,retargeting,126.06,1020.87,20
2025-06-07,retargeting_us,retargeting,83.92,800.27,16
2025-06-08,retargeting_us,retargeting,90.55,638.51,12
2025-06-09,retargeting_us,retargeting,51.05,553.03,11
2025-06-10,retargeting_us,retargeting,77.65,582.89,11
2025-06-11,retargeting_us,retargeting,89.79,659.19,13
2025-06-12,retargeting_us,retargeting,122.45,900.14,18
2025-06-13,retargeting_us,retargeting,92.48,921.63,18
2025-06-14,retargeting_us,retargeting,117.31,921.87,18
2025-06-15,retargeting_us,retargeting,69.68,532.03,10
2025-06-16,retargeting_us,retargeting,73.19,611.37,12
2025-06-17,retargeting_us,retargeting,68.19,582.6,11
2025-06-18,retargeting_us,retargeting,86.63,698.03,13
2025-06-19,retargeting_us,retargeting,92.05,741.68,14
2025-06-20,retargeting_us,retargeting,101.52,981.24,19
2025-06-21,retargeting_us,retargeting,85.32,714.08,14
2025-06-22,retargeting_us,retargeting,77.99,578.09,11
2025-06-23,retargeting_us,retargeting,53.84,506.71,10
2025-06-24,retargeting_us,retargeting,63.77,569.74,11
2025-06-25,retargeting_us,retargeting,102.45,668.15,13
2025-06-26,retargeting_us,retargeting,126.54,1017.23,20
2025-06-27,retargeting_us,retargeting,128.64,977.36,19
2025-06-28,retargeting_us,retargeting,104.18,848.88,16
2025-06-29,retargeting_us,retargeting,82.33,548.15,10
